,Feature_Set,R2,RMSE,RRMSE_%
0,Case1,0.53,1040.0,33.3
1,Case2,0.53,1039.9,33.3
2,Case3,0.58,981.5,31.5
3,Case4,0.58,978.4,31.4
4,Case5,0.55,1012.0,32.5
5,Case6,0.60,957.4,30.7
6,Case7,0.59,974.4,31.2
