,Feature_Set,R2,RMSE,RRMSE_%
0,Case1,0.74,883.5,31.7
1,Case2,0.73,887.8,31.8
2,Case3,0.79,796.0,28.5
3,Case4,0.79,793.1,28.4
4,Case5,0.72,906.0,32.5
5,Case6,0.79,792.7,28.4
6,Case7,0.78,800.2,28.7
