latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4447331.924,659319.7026,18.896988,0.4843115,0.5421457,19.531343,21.661123,22.611746,24.566982,24.133495,68.109024,63.830246,60.02331,61.78993,64.31516,13.396797,17.349646,16.146503,14.197773,11.482002,1.1990656,1.158053,6.5170445,8.094054,1377.06,319.86893,1.3203125,1.9104857,0.10559082,60,20,0.35822663,0.35173023,0.27808687,0.3596321,0.38829255,1.1311569,1.0278398,15.637421,17.039318,17.054428,18.243593,20.044474,20.543982,19.817072,17.92302,10.996099,12.413702,14.892289,15.165403,15.112616,17.05522,15.3548,14.000659,19.881527,19.644672,15.923724,14.518698,17.106829,20.80724,23.834698,18.254265,20.306143,20.348377,16.715635,16.290668,18.695433,24.750029,23.341726,19.472935,20.7061,24.351858,21.312702,20.275799,22.223797,27.425571,27.247347,22.891092,25.131495,21.681362,21.253595,18.795774,20.699196,27.262527,27.29004,22.648756,0.5132286,1.1785593,7.3055496,0.5564236,20.596233,65.969635,15.373221,18.340042,14.427161,18.81677,20.064001,23.363312,23.15914,76.44
4447331.924,659324.7026,37.430443,0.4833233,0.5318753,19.487146,21.795683,22.255047,23.83835,23.729284,67.8376,63.369156,60.706646,62.702892,64.676216,13.489253,17.212698,16.314705,14.066613,11.689855,1.2110572,1.1687716,6.483421,8.065737,1377.13,324.6839,0.8798828,1.8075538,0.06555176,60,20,0.35822663,0.35173023,0.27808687,0.3596321,0.38829255,1.1311569,1.0278398,15.637421,17.039318,17.054428,18.24008,20.044474,20.545843,19.817072,17.922762,14.757324,16.24844,18.380062,18.997623,19.57692,21.869911,19.552938,17.992126,20.422478,19.73595,16.299337,14.838287,17.236492,20.793507,23.89706,18.470686,16.829144,17.708738,14.438977,14.479922,16.806372,20.174719,18.764296,16.645548,11.0884285,13.969897,11.868598,10.704501,12.203598,16.958265,16.641737,12.942596,15.520335,14.992862,16.301003,14.286122,15.686329,17.822287,16.162027,15.736723,0.5075993,1.1899145,7.274579,0.5564236,20.641415,65.60338,15.350975,18.339804,18.483318,19.031874,17.028881,13.347861,15.824424,76.44
4447331.924,659329.7026,44.13287,0.46390134,0.5096245,18.873014,21.640491,22.022118,23.266243,23.021746,68.389656,63.73906,62.08346,63.73815,66.07279,13.01503,16.295881,15.467651,13.5252,11.347525,1.1563964,1.1588999,6.479037,8.07719,1377.2,321.752,0.51904297,1.5496862,0.044433594,60,20,0.35822663,0.35173023,0.27808687,0.3596321,0.38829255,1.1311569,1.0278398,13.551824,15.417284,15.887528,16.936153,18.816624,20.55336,19.222553,16.731178,12.945686,15.448667,16.533823,17.668522,18.437387,21.77175,18.852907,16.767841,20.52085,19.11376,16.279625,15.971341,19.98471,19.926676,25.329262,18.989357,15.81856,16.263065,14.864453,13.852186,18.566532,19.100254,20.073315,16.439249,17.31753,18.824362,15.329926,14.796127,16.25109,20.400295,22.01609,17.383434,16.622318,16.145233,16.412169,16.184855,18.098755,19.607716,17.637314,17.140526,0.4867629,1.1576481,7.2781134,0.5564236,20.256752,66.06436,14.655456,17.197905,17.37982,19.58946,16.934052,17.847918,17.244051,76.44
4447331.924,659334.7026,46.251312,0.46348497,0.5074956,18.834793,21.811863,21.978167,22.81384,22.836082,68.23089,63.340816,62.114346,63.785995,66.15545,13.166889,16.363575,15.483013,13.647873,11.397554,1.1633031,1.1616509,6.458227,8.071221,1377.24,337.53265,0.080078125,1.1619974,0.018920898,60,20,0.35822663,0.35173023,0.27808687,0.3596321,0.38829255,1.1311569,1.0278398,13.551824,15.417284,15.887528,16.936153,18.816624,20.55336,19.222553,16.731178,12.945686,15.448667,16.533823,17.668522,18.437387,21.77175,18.852907,16.767841,20.52085,19.11376,16.279625,15.971341,19.98471,19.926676,25.329262,18.989357,15.81856,16.263065,14.864453,13.852186,18.566532,19.100254,20.073315,16.439249,17.31753,18.824362,15.329926,14.796127,16.25109,20.400295,22.01609,17.383434,16.622318,16.145233,16.412169,16.184855,18.098755,19.607716,17.637314,17.140526,0.48549026,1.162477,7.2647243,0.5564236,20.323328,65.78585,14.765232,17.197905,17.37982,19.58946,16.934052,17.847918,17.244051,76.44
4447326.924,659119.7026,69.912384,1.2233229,0.825067,29.099203,33.603973,38.50932,36.98681,35.699528,31.778305,34.86163,35.328503,42.887737,42.75146,36.64319,30.860273,24.476465,20.625996,21.878914,2.8532026,2.182183,6.289389,7.3287325,1376.19,18.434948,0.03955078,0.044787582,0.004394531,60,20,0.35324982,0.35255396,0.2813791,0.3375186,0.37852305,1.1640574,1.0794262,15.448001,17.665602,16.588732,18.745174,18.992939,21.013216,19.370655,17.878109,23.506435,23.681671,20.845106,23.46974,22.15178,26.25213,25.294771,23.35594,21.788013,23.99103,20.942076,22.181337,21.864931,23.07861,21.062462,21.913622,21.862158,23.914759,19.649912,21.645874,20.405838,23.619232,25.092464,21.947258,15.177046,14.823148,11.886701,15.62748,11.536854,15.793431,16.20984,14.044104,19.837645,18.812456,20.873999,20.602177,21.537334,21.009039,19.254822,20.17122,1.024195,2.5176928,6.809061,0.5638155,31.35159,33.31997,33.75173,18.260616,23.600233,22.129778,22.312893,14.436357,20.275356,76.44
4447326.924,659124.7026,68.582954,1.2179166,0.82794946,29.391394,33.734085,39.188225,37.43059,36.327965,32.03343,34.50769,34.674427,42.57524,41.912518,36.19876,30.956629,24.337482,20.525326,22.093935,2.8398619,2.1917558,6.2826552,7.316245,1376.19,63.364475,0.118652344,0.06357383,0.00769043,60,20,0.35324982,0.35255396,0.2813791,0.3375186,0.37852305,1.1640574,1.0794262,15.367032,18.568996,16.207525,17.029507,18.055471,20.776693,18.06946,17.496805,22.117271,23.889877,21.355316,22.81913,22.621563,27.672276,24.79724,23.347908,22.288853,24.960543,22.81018,23.321064,22.564081,23.301855,22.528343,23.035002,23.822752,23.875835,21.34002,21.302399,21.0186,25.06097,24.5831,22.618412,12.69265,14.125885,12.658699,13.479543,12.134305,18.1779,16.071564,13.879007,19.08312,19.330057,20.359137,20.38085,21.834595,22.046282,19.493792,20.245235,1.022933,2.5158088,6.79945,0.5638155,31.56274,33.27056,33.577694,17.724957,23.610382,23.110704,23.000525,14.191506,20.361118,76.44
4447326.924,659129.7026,73.831116,1.2194178,0.83220726,29.841145,33.848248,40.146038,38.166256,37.277298,32.072166,34.11542,33.790596,41.828915,40.2965,35.835854,31.142363,24.06386,20.610638,22.742498,2.8428936,2.2114656,6.281477,7.3004766,1376.18,66.72891,0.040527344,0.10887297,0.004516602,60,20,0.35324982,0.35255396,0.2813791,0.3375186,0.37852305,1.1640574,1.0794262,15.208534,17.632946,15.912347,15.809534,18.363344,20.700222,17.850573,17.046457,22.586597,23.154049,22.0624,22.365747,23.989214,27.529652,25.015034,23.544395,22.07983,24.732124,22.249083,21.19749,17.801252,22.2,22.029411,21.73019,22.863762,22.880663,21.251238,21.14452,20.682877,25.703724,24.780495,22.490572,14.409826,15.93823,14.583546,14.602498,13.292373,19.29096,16.555546,15.307665,18.238102,18.88181,20.454336,20.228863,18.988415,20.86771,19.047201,19.461464,1.0258125,2.5271797,6.7909765,0.5638155,31.844696,33.093796,33.48911,17.353928,23.814669,21.755598,22.758183,15.524711,19.529491,76.44
4447326.924,659134.7026,65.72391,1.2135369,0.8283101,30.083033,33.867737,40.671032,38.95301,37.927055,32.16722,33.654186,33.371483,41.160156,39.208565,35.72708,31.510145,23.77856,20.462456,23.090786,2.8268094,2.2158628,6.2941966,7.3031664,1376.17,66.80141,0.040039062,0.109194316,0.002197266,60,20,0.34828505,0.3505101,0.2853552,0.33485606,0.37684628,1.1655229,1.0756198,15.5993395,17.904703,16.162321,16.141886,18.78356,20.876335,18.183958,17.355665,26.32314,25.957184,25.061949,25.27886,27.156208,29.357101,27.45494,26.489286,22.07983,24.732124,22.249083,21.19749,17.801252,22.2,22.029411,21.73019,22.805073,23.02758,21.199854,21.082859,20.681232,25.71635,24.671623,22.485851,14.409826,15.93823,14.583546,14.602498,13.292373,19.29096,16.555546,15.307665,18.238102,18.88181,20.454336,20.228863,18.988415,20.86771,19.047201,19.461464,1.0209235,2.521336,6.7986813,0.56242794,31.975384,32.910706,33.618614,17.664587,26.655626,21.755598,22.740652,15.524711,19.529491,76.44
4447326.924,659139.7026,61.63,1.1707889,0.8249446,29.370876,33.61828,39.683357,38.578346,36.76246,33.103764,33.613987,35.050343,42.825676,42.709927,35.403522,31.637388,23.421776,19.127203,20.769962,2.7201383,2.1629071,6.2795744,7.3677473,1376.16,81.869896,0,0.101384394,0.001098633,60,20,0.34828505,0.3505101,0.2853552,0.33485606,0.37684628,1.1655229,1.0756198,15.393654,18.661541,16.929674,15.134222,19.675913,21.645569,19.905085,17.72754,25.852148,25.449795,25.854774,25.31703,27.4534,29.870762,28.349117,26.761517,23.451496,25.057821,21.975813,21.792564,19.596565,21.145868,19.993435,21.903585,22.433136,23.349833,21.562864,20.115488,20.348373,25.403948,24.330633,22.373442,12.653109,14.467035,14.850123,13.010756,12.560286,17.935444,16.32861,14.229425,19.170292,19.472124,18.647818,20.97906,18.79477,19.869837,17.323534,19.199726,0.99786675,2.4415226,6.823661,0.56242794,31.494577,33.358875,33.520454,18.192236,26.878147,21.859081,22.506323,14.543625,19.179632,76.44
4447326.924,659144.7026,55.34991,1.1317565,0.8108024,28.719149,33.332478,38.386032,38.011436,36.39517,34.115917,33.786854,37.33383,44.54136,44.931633,34.850143,31.481377,22.810947,18.035942,18.884775,2.6287267,2.1174486,6.270311,7.4238715,1376.15,90,0,0.11470331,0,60,20,0.34828505,0.3505101,0.2853552,0.33485606,0.37684628,1.1655229,1.0756198,14.472791,17.256636,15.882031,16.130888,19.819073,21.514547,19.039528,17.282064,21.525122,20.90296,20.550146,21.669989,22.472721,24.621546,23.736872,22.020975,23.77715,23.824846,20.387201,22.809818,19.97097,22.760475,21.694778,22.00264,23.201908,22.702606,20.719347,20.437378,20.739574,26.14162,28.040403,22.543047,13.601895,15.83147,13.8087845,13.175832,13.119918,18.245516,15.719092,14.492115,19.298943,20.861818,17.600817,18.337925,19.131817,20.171864,18.020565,18.906666,0.9712795,2.3730876,6.847091,0.56242794,31.025814,33.951385,33.16576,17.730785,22.211338,22.175034,23.140406,14.786072,19.060535,76.44
