latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4446160.13,658031.0186,96.68384,1.544873,0.8104618,27.237335,32.474503,35.12161,26.314964,23.17178,32.243977,30.644625,28.595804,30.390512,31.70098,41.163013,36.349934,35.3972,42.734283,44.735107,2.8017087,2.0113387,6.4309664,7.558066,1383.23,6.5745435,3.6401367,2.3779414,0.2977295,0,15,0.5945063,0.41362908,0.2824333,0.23838127,0.66440916,0.95435345,1.9587494,17.200882,15.956264,17.868929,15.625929,17.897528,18.987928,16.722782,17.049341,21.696857,17.24135,19.115702,16.628479,23.359852,21.78649,22.0107,19.876911,21.384665,17.358774,18.34588,19.120132,22.55084,23.598297,21.712858,20.293219,18.310215,16.813234,17.559784,18.016413,17.841778,18.056639,18.375141,17.72892,15.610727,16.577665,16.713043,15.071446,15.469242,15.941332,16.001497,15.843442,15.687021,16.133364,16.615812,16.850172,15.502674,17.073393,16.851833,16.286606,1.1776674,2.4065237,6.9945164,0.7294946,29.855919,31.444302,38.756474,17.180037,20.262775,20.581635,17.853315,15.912135,16.387754,56.11
4446160.13,658035.8984,76.26929,1.5151894,0.81683767,27.161324,32.077377,35.22744,26.452599,23.22981,32.579124,30.956507,28.64051,30.337791,31.520508,40.966816,36.360207,35.433235,42.453537,44.91618,2.7654858,1.9941932,6.455677,7.550985,1383.19,329.64716,3.359375,1.360992,0.20214844,0,15,0.5945063,0.41362908,0.2824333,0.23838127,0.66440916,0.95435345,1.9587494,17.200882,15.956264,17.868929,15.625929,17.897528,18.987928,16.722782,17.049341,21.696857,17.24135,19.115702,16.628479,23.359852,21.78649,22.0107,19.876911,21.384665,17.358774,18.34588,19.120132,22.55084,23.598297,21.712858,20.293219,18.310215,16.813234,17.559784,18.016413,17.841778,18.056639,18.375141,17.72892,15.610727,16.577665,16.713043,15.071446,15.469242,15.941332,16.001497,15.843442,15.687021,16.133364,16.615812,16.850172,15.502674,17.073393,16.851833,16.286606,1.1660135,2.3798394,7.003331,0.7294946,29.61935,31.767815,38.663513,17.180037,20.262775,20.581635,17.853315,15.912135,16.387754,56.11
4446160.13,658040.7783,68.26866,1.4991943,0.81845826,27.044323,32.20818,35.440163,26.45311,23.377968,32.845253,30.984022,28.78193,30.30752,31.24852,40.79096,36.306236,35.17995,42.37914,45.11384,2.7429378,1.9701127,6.4718843,7.538243,1383.15,210.14409,0.5600586,1.3413314,0.103393555,0,15,0.5945063,0.41362908,0.2824333,0.23838127,0.66440916,0.95435345,1.9587494,17.141867,16.193247,17.119167,15.127272,16.524435,18.801802,16.935534,16.667877,20.78543,17.200653,18.720705,16.553326,22.436909,22.10901,21.877636,19.584011,21.592127,18.154558,17.521318,17.929953,22.480244,25.249979,21.01858,20.289114,17.820166,16.466196,16.295208,17.642344,18.136429,18.493425,16.784552,17.237684,15.333046,15.636274,16.499157,15.3017025,15.526806,15.894027,15.889844,15.681027,16.795984,16.323324,16.303041,16.128614,16.640203,16.591938,16.569376,16.442892,1.1588262,2.3565252,7.0050635,0.7294946,29.626251,31.914639,38.5486,16.83476,19.95481,20.563824,17.376904,15.725837,16.478926,56.11
4446160.13,658045.6581,116.10495,1.4820259,0.8198075,27.03943,32.206043,35.628925,26.416243,23.381721,33.100384,31.017214,28.815897,30.370104,31.207027,40.601334,36.297165,35.088394,42.3064,45.12138,2.7168872,1.9668661,6.477744,7.5291886,1383.06,172.83313,-0.87939453,2.63999,-0.04333496,0,15,0.5945063,0.41362908,0.2824333,0.23838127,0.66440916,0.95435345,1.9587494,17.593546,15.359227,16.588428,14.587023,17.58904,17.93683,17.852835,16.638971,21.332869,17.52373,18.874365,16.796505,21.816723,22.803972,21.792658,19.801788,21.169748,17.155031,17.688278,17.203695,22.461039,24.576418,19.7843,19.701406,18.028612,15.313978,16.588852,15.840399,17.94269,20.27217,17.085571,17.13079,15.800767,15.087206,16.022919,14.689088,15.265625,16.217264,16.43856,15.505619,16.895712,16.135643,15.948109,15.970526,17.119286,16.911032,16.79141,16.483364,1.1509167,2.3418767,7.0034666,0.7294946,29.622738,32.0588,38.44925,16.786705,20.134403,20.005499,17.29604,15.645918,16.538816,56.11
4446160.13,658050.5379,107.984795,1.4628538,0.82480156,27.564896,32.73252,35.74995,26.37717,23.280191,33.369274,30.844837,28.994755,30.528456,31.3564,40.257874,36.146843,34.994747,42.267437,44.96221,2.6878672,1.9501753,6.469617,7.5210977,1383.04,171.78311,-0.43945312,2.805516,-0.034423828,0,15,0.63831687,0.3900191,0.279502,0.23397888,0.66791093,0.87448955,1.565077,17.593546,15.359227,16.588428,14.587023,17.58904,17.93683,17.852835,16.638971,21.332869,17.52373,18.874365,16.796505,21.816723,22.803972,21.792658,19.801788,21.169748,17.155031,17.688278,17.203695,22.461039,24.576418,19.7843,19.701406,18.028612,15.313978,16.588852,15.840399,17.94269,20.27217,17.085571,17.13079,15.800767,15.087206,16.022919,14.689088,15.265625,16.217264,16.43856,15.505619,16.895712,16.135643,15.948109,15.970526,17.119286,16.911032,16.79141,16.483364,1.1438277,2.3190212,6.9953575,0.6641849,30.148708,32.107056,38.20236,16.786705,20.134403,20.005499,17.29604,15.645918,16.538816,56.11
4446160.13,658055.4178,85.21942,1.4369777,0.8473062,27.621046,32.003754,35.468708,26.346928,23.580587,33.52803,30.86419,29.928583,31.04613,31.977566,40.085117,36.70728,34.655296,41.751076,44.070255,2.710299,1.9903119,6.487467,7.544406,1383.01,174.64272,-0.31982422,2.7601895,-0.040039062,0,15,0.63831687,0.3900191,0.279502,0.23397888,0.66791093,0.87448955,1.565077,18.297962,15.2900915,16.663454,15.310499,18.1607,18.641514,18.106134,17.093658,21.067995,17.650263,18.880142,16.479527,22.72045,22.932499,21.83713,19.922203,22.122656,17.297113,17.105083,16.954851,21.479584,24.14776,21.021868,19.718454,18.319454,15.710317,17.00642,16.205868,16.809774,19.7223,17.564453,17.199139,15.094925,15.0934,15.486557,14.993158,16.22575,15.916621,16.552635,15.51908,15.825806,16.340334,16.32464,16.009563,16.263784,16.930605,16.463652,16.247726,1.1421419,2.3503056,7.0159364,0.6641849,29.8124,32.19611,38.3962,17.21005,20.224,20.018417,17.334084,15.623291,16.30834,56.11
4446160.13,658060.2976,69.009636,1.4189695,0.8629631,27.638927,31.999763,35.52756,26.436884,23.628319,34.010113,30.95666,30.406786,31.510902,32.626152,39.523823,36.67999,34.197926,41.265713,43.343143,2.6763115,1.9857348,6.4613853,7.5455227,1382.99,174.697,-0.52001953,2.788327,-0.030029297,0,15,0.63831687,0.3900191,0.279502,0.23397888,0.66791093,0.87448955,1.565077,18.342457,14.606919,16.604313,16.085423,17.95892,18.18937,17.07085,16.922617,20.833889,17.521969,18.57153,16.6069,22.688574,23.132145,22.495646,19.86174,19.85404,17.621752,16.9351,17.409662,20.590616,24.750689,20.97878,19.379627,18.335493,15.67493,16.713627,15.752372,17.010353,19.266634,17.369406,17.025684,15.358945,14.338386,15.32195,14.612935,16.822634,15.793365,16.824476,15.442536,15.729432,17.297209,15.9829445,15.988599,17.072464,16.919657,17.105844,16.481688,1.1409663,2.3310232,7.003454,0.6641849,29.819345,32.483387,38.101906,16.979752,20.26438,19.734377,17.160402,15.581813,16.585163,56.11
4446155.146,657967.5808,110.4696,1.603109,0.7785602,26.42648,31.554361,38.96243,28.358137,22.656725,34.220974,32.607994,26.973215,30.737526,38.65966,38.974155,35.380497,34.965714,40.337234,38.517155,2.709452,2.0930052,6.2465854,7.4757023,1383.6,2.663519,4.760254,4.920723,0.39440918,0,15,0.59533966,0.41322467,0.28211305,0.23463087,0.6657905,0.92964625,1.68817,19.077023,15.246915,17.007544,15.532054,17.470505,21.467707,18.270412,17.516867,22.26057,17.898666,20.273005,17.042889,23.588503,24.665327,24.658813,20.92628,23.885166,20.598267,21.725174,20.14516,21.98909,22.827383,24.137732,21.787546,21.632658,21.695265,20.718758,20.650831,21.659943,21.738455,22.607513,21.456774,15.147799,15.0563345,16.928368,15.315981,16.0173,17.107288,16.324802,15.903395,16.484655,17.084904,18.480896,17.298162,17.409184,17.91582,17.809643,17.440742,1.1908346,2.4012284,6.861144,0.6869879,28.990421,33.414482,37.177326,17.724594,21.483967,22.18685,21.529058,15.985408,17.497608,56.11
4446155.146,657972.4606,106.52791,1.6143194,0.7609918,26.534962,31.287998,38.734608,28.454857,23.175694,33.380283,32.188362,26.674747,29.837801,36.19469,39.963955,36.09978,35.392555,41.205574,40.817177,2.7648427,2.0820816,6.250733,7.4647827,1383.57,340.03427,4.599121,3.394678,0.27331543,0,15,0.59533966,0.41322467,0.28211305,0.23463087,0.6657905,0.92964625,1.68817,19.135593,15.210478,17.40443,15.881526,18.391563,21.478214,17.463118,17.803337,23.108273,18.091143,19.887497,17.106297,23.835423,24.256914,24.162603,20.917078,22.700085,20.570154,21.26894,20.049595,21.789494,23.923414,23.651897,21.659185,21.557444,21.285501,20.971458,20.103771,20.915297,21.678104,22.207636,21.13647,15.399739,14.788404,16.02584,15.220216,15.922096,16.625547,16.970585,15.770432,17.849726,17.145857,17.53653,16.868074,17.354942,17.369799,18.381071,17.442495,1.1876557,2.4234622,6.8577576,0.6869879,28.91148,32.784325,38.031868,17.85213,21.49259,21.993368,21.245604,15.850347,17.500856,56.11
4446155.146,657977.3404,95.42961,1.6144251,0.7591929,26.52834,31.288734,38.458813,28.250858,23.108547,32.87857,32.028217,26.463167,29.628942,34.762405,40.627747,36.40136,35.74994,41.572166,42.313286,2.80065,2.0834706,6.2543364,7.478914,1383.54,265.47064,0.8408203,0.905518,0.16442871,0,15,0.59533966,0.41322467,0.28211305,0.23463087,0.6657905,0.92964625,1.68817,19.135593,15.210478,17.40443,15.881526,18.391563,21.478214,17.463118,17.803337,23.108273,18.091143,19.887497,17.106297,23.835423,24.256914,24.162603,20.917078,22.700085,20.570154,21.26894,20.049595,21.789494,23.923414,23.651897,21.659185,21.557444,21.285501,20.971458,20.103771,20.915297,21.678104,22.207636,21.13647,15.399739,14.788404,16.02584,15.220216,15.922096,16.625547,16.970585,15.770432,17.849726,17.145857,17.53653,16.868074,17.354942,17.369799,18.381071,17.442495,1.186809,2.4420602,6.866625,0.6869879,28.908537,32.453392,38.514553,17.85213,21.49259,21.993368,21.245604,15.850347,17.500856,56.11
