latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4447182.341,659243.1829,63.50948,0.80470663,0.58286625,21.320404,28.19434,28.787907,24.960451,20.815523,54.869553,50.41729,45.623383,52.26953,61.78312,25.290976,22.016327,25.253061,22.8389,17.3528,1.7503211,1.5385247,5.988099,7.1736617,1375.93,113.19376,-0.0390625,0.54517514,0,54.1,20,0.629062,0.41523662,0.27668682,0.23033726,0.6562502,0.99480516,1.9726461,18.060038,14.123361,14.566671,13.128608,16.311272,19.64575,19.45907,15.934415,23.430132,22.284409,24.035225,22.126127,24.087399,23.89325,25.7707,23.40478,22.057669,20.430784,19.084553,20.92137,24.869467,23.46548,23.945501,21.832842,25.087284,18.78774,24.035313,20.403408,24.027548,23.671322,27.075056,23.072702,12.794493,9.978723,11.452063,10.573957,12.9281225,12.299215,15.262056,11.689969,14.777755,15.200256,14.9370575,14.709389,15.673645,13.376979,14.09603,14.724167,0.69378644,1.644423,6.58088,0.73928916,24.757372,52.64342,23.653652,16.470682,23.661036,22.11069,23.298239,12.184091,14.681587,56.11
4447182.341,659248.1811,69.08184,0.82148874,0.5887764,21.276571,27.890308,28.625584,24.922218,21.603537,54.630974,50.9203,45.528038,51.732254,60.165234,25.30623,21.777235,25.376019,23.351797,18.200695,1.784411,1.5568255,6.006331,7.153104,1375.89,114.13447,0,0.45542598,-0.001098633,54.1,20,0.629062,0.41523662,0.27668682,0.23033726,0.6562502,0.99480516,1.9726461,17.656229,14.3599415,15.201181,14.110526,16.113142,20.447737,18.961685,16.189154,24.044573,23.073734,23.081587,22.940119,24.335571,24.77441,25.032776,23.658306,22.514524,21.392246,20.493252,21.170797,25.178982,24.51692,23.812483,22.463575,23.109173,20.979803,22.08076,21.318756,24.053576,24.781622,26.445631,22.793444,13.28211,9.543388,11.011434,10.761702,13.029673,12.885973,15.683269,11.83025,15.17437,14.034033,14.565444,13.547348,15.008667,13.963914,13.0510235,14.279369,0.7051326,1.6706183,6.5797176,0.73928916,24.583439,52.775635,23.541733,16.69292,23.89754,22.725601,23.25276,12.313934,14.192115,56.11
4447182.341,659253.1792,85.31864,0.83328986,0.59324306,20.690174,27.285112,28.449621,25.216812,21.604073,54.20519,51.149963,45.53727,50.78156,59.601482,25.853605,22.167192,25.63404,23.968033,18.720076,1.8166894,1.5802612,6.028268,7.1238933,1375.86,111.78936,0.080078125,0.46303543,0.008911133,54.1,20,0.6067498,0.4248596,0.27590093,0.22888412,0.65394485,0.99460167,1.998473,17.329393,14.122368,15.20986,14.809645,17.159899,19.859755,18.972567,16.331398,23.787539,23.132397,22.409868,22.2317,24.164595,24.797794,26.092012,23.55906,20.850298,21.015087,20.304205,19.234587,24.02105,24.617292,25.075867,21.977285,23.642962,20.12401,21.736269,21.016178,22.974499,24.908249,29.383327,22.918205,13.182139,10.560292,10.921837,10.957345,13.575147,13.560984,14.695338,12.22024,15.881995,14.679345,14.539047,13.774522,14.14277,13.843598,15.631654,14.551625,0.7132665,1.6984754,6.5760803,0.7404877,23.987644,52.677574,24.010399,16.780499,23.802273,22.159771,23.39793,12.493297,14.641847,56.11
4447182.341,659258.1774,90.40119,0.8551768,0.6009826,21.24191,27.192348,28.169527,25.95868,22.449352,53.342033,50.93497,45.83423,49.56303,57.989563,25.765047,22.357666,25.84546,24.320656,19.515224,1.8673872,1.5978869,6.042568,7.099299,1375.82,108.42329,0.15917969,0.5432959,0.008789063,54.1,20,0.6067498,0.4248596,0.27590093,0.22888412,0.65394485,0.99460167,1.998473,17.329393,14.122368,15.20986,14.809645,17.159899,19.859755,18.972567,16.331398,23.787539,23.132397,22.409868,22.2317,24.164595,24.797794,26.092012,23.55906,20.850298,21.015087,20.304205,19.234587,24.02105,24.617292,25.075867,21.977285,23.642962,20.12401,21.736269,21.016178,22.974499,24.908249,29.383327,22.918205,13.182139,10.560292,10.921837,10.957345,13.575147,13.560984,14.695338,12.22024,15.881995,14.679345,14.539047,13.774522,14.14277,13.843598,15.631654,14.551625,0.7280797,1.732637,6.5709333,0.7404877,24.217129,52.138504,24.061356,16.780499,23.802273,22.159771,23.39793,12.493297,14.641847,56.11
4447182.341,659263.1755,88.819435,0.8818694,0.6063497,22.068699,27.30321,28.42463,26.43253,22.708038,52.27651,50.454086,45.294724,49.072414,57.279842,25.747997,22.568474,26.36509,24.372217,20.12083,1.9242624,1.6042154,6.0473976,7.072589,1375.77,108.42672,0.16064453,0.7699685,0.016723633,54.1,20,0.6067498,0.4248596,0.27590093,0.22888412,0.65394485,0.99460167,1.998473,17.92113,13.694311,14.830773,13.100341,16.781073,19.144377,19.120533,15.8039055,23.298065,22.938948,23.470423,22.107203,23.360298,25.079773,25.340513,23.513493,21.671347,19.705708,20.514252,19.019842,23.73361,25.217808,23.354246,21.884653,22.394735,19.894903,21.516516,20.762857,23.315397,24.346592,26.524427,22.32113,13.570879,10.8159075,11.253799,9.93193,12.162755,15.552234,14.044157,12.125723,16.490545,13.533832,14.1987,14.016985,13.956182,13.877378,13.714699,14.251045,0.7441095,1.7642388,6.5599933,0.7404877,24.685955,51.365295,24.158236,16.370363,23.65646,21.888117,22.679348,12.475952,14.255475,56.11
4447182.341,659268.1737,108.77023,0.9069941,0.61154586,22.752796,27.582893,28.753517,26.721952,23.119091,51.270737,49.85251,44.333553,48.64362,56.12434,26.056616,22.99336,27.217737,24.547686,20.894106,1.9741673,1.6263671,6.0620856,7.0424943,1375.69,112.105934,0.07910156,0.9895816,0.004394531,54.1,20,0.6067498,0.4248596,0.27590093,0.22888412,0.65394485,0.99460167,1.998473,17.250227,14.129178,14.402112,12.59108,17.576109,19.58957,20.03783,15.944486,23.813154,23.070126,23.366272,21.680529,24.143803,25.365246,25.61974,23.785824,21.733038,21.864761,19.346882,19.170803,24.561466,26.411898,24.647858,22.548565,22.837156,19.905514,22.815748,20.805721,24.422585,26.111248,28.214613,23.346527,12.912222,10.462283,11.7227955,10.780647,14.289842,15.299004,16.96252,12.833562,16.155443,14.316575,14.285714,13.954637,14.0659075,13.8240385,13.77491,14.317693,0.75926995,1.8002672,6.55229,0.7404877,25.167845,50.561623,24.524988,16.510874,23.865553,22.533815,23.587511,13.204186,14.339602,56.11
4447182.341,659273.1718,70.986115,0.93140686,0.6227564,23.024567,27.48225,29.037363,27.109686,23.689608,50.552303,49.567356,43.45049,48.238365,54.63868,26.07845,23.4153,28.083002,24.647245,21.742723,2.0140686,1.6347723,6.0820556,6.9965754,1375.61,112.983536,0,0.9174736,0.001098633,54.1,20,0.6067498,0.4248596,0.27590093,0.22888412,0.65394485,0.99460167,1.998473,17.250227,14.129178,14.402112,12.59108,17.576109,19.58957,20.03783,15.944486,23.813154,23.070126,23.366272,21.680529,24.143803,25.365246,25.61974,23.785824,21.733038,21.864761,19.346882,19.170803,24.561466,26.411898,24.647858,22.548565,22.837156,19.905514,22.815748,20.805721,24.422585,26.111248,28.214613,23.346527,12.912222,10.462283,11.7227955,10.780647,14.289842,15.299004,16.96252,12.833562,16.155443,14.316575,14.285714,13.954637,14.0659075,13.8240385,13.77491,14.317693,0.7770816,1.8244205,6.539315,0.7404877,25.253408,50.05983,24.746876,16.510874,23.865553,22.533815,23.587511,13.204186,14.339602,56.11
4447182.341,659278.17,79.36122,0.9579923,0.62670875,23.23341,26.925846,29.02412,27.431799,23.2017,50.131683,50.14237,43.493176,48.22914,55.71305,25.848934,23.22815,28.594107,24.51737,21.423014,2.034371,1.6165348,6.0863,6.9441743,1375.54,107.03651,-0.03955078,0.7340315,-0.002197266,54.1,20,0.6067498,0.4248596,0.27590093,0.22888412,0.65394485,0.99460167,1.998473,17.043333,12.913732,14.8766575,13.223079,19.271168,19.324429,19.74195,16.15668,23.407185,22.88555,24.517992,22.379591,25.099905,26.03361,25.92355,24.299423,23.116028,21.124659,19.857738,19.355783,25.804651,26.267492,25.077784,22.984123,22.444319,21.722927,25.247011,21.863749,25.638256,25.723312,28.372023,24.277,12.876448,11.094385,12.022538,10.8007,16.547745,15.095948,17.798155,13.482492,15.148871,13.91559,13.169187,13.6530905,13.951324,13.940999,13.7267475,13.869765,0.79235053,1.8254528,6.515237,0.7404877,25.079628,50.137024,24.538542,16.627766,24.321056,22.943447,24.430227,13.747989,13.9294,56.11
4447182.341,659283.1681,88.205345,0.98667437,0.63314813,23.355724,26.643496,29.287373,28.082775,23.54692,49.65071,50.444534,42.69335,47.45967,55.27681,26.106838,23.28714,29.635584,24.812595,21.577034,2.0607612,1.6159216,6.1017094,6.857021,1375.49,101.30993,0.040039062,0.5117522,0,54.1,20,0.5951938,0.44472167,0.28199756,0.22624545,0.71704847,1.0414393,2.0067916,14.659728,12.670768,14.500952,12.5476885,17.414953,18.24663,19.575424,15.121233,22.87813,22.311739,24.214798,22.11553,24.707445,25.002575,25.611921,23.588366,22.17002,21.380493,19.384216,20.018772,26.690111,27.568373,24.904938,22.81034,23.467886,22.193247,25.962029,21.847563,24.56163,25.7507,28.329193,24.334463,12.595839,11.899786,13.431274,11.643724,16.344902,16.134605,17.148136,13.746321,14.533229,13.821874,14.57727,14.040491,14.270607,15.181294,13.767346,14.304651,0.80991125,1.8383415,6.4793653,0.75906247,24.99961,50.047623,24.69699,15.659449,23.83459,23.159561,24.587463,14.171182,14.313159,56.11
4447182.341,659288.1662,88.78192,0.9910365,0.6444829,23.550873,26.617535,29.53855,28.628784,23.757421,49.61204,49.951527,42.048737,46.475483,54.92105,26.035772,23.916508,29.732101,25.092205,21.634323,2.0660264,1.623645,6.102331,6.86412,1375.45,98.130104,-0.16015625,0.20276815,-0.011108398,54.1,20,0.5951938,0.44472167,0.28199756,0.22624545,0.71704847,1.0414393,2.0067916,14.659728,12.670768,14.500952,12.5476885,17.414953,18.24663,19.575424,15.121233,22.87813,22.311739,24.214798,22.11553,24.707445,25.002575,25.611921,23.588366,22.17002,21.380493,19.384216,20.018772,26.690111,27.568373,24.904938,22.81034,23.467886,22.193247,25.962029,21.847563,24.56163,25.7507,28.329193,24.334463,12.595839,11.899786,13.431274,11.643724,16.344902,16.134605,17.148136,13.746321,14.533229,13.821874,14.57727,14.040491,14.270607,15.181294,13.767346,14.304651,0.8177597,1.8448358,6.483226,0.75906247,25.084204,49.781784,24.97614,15.659449,23.83459,23.159561,24.587463,14.171182,14.313159,56.11
