latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4446201.924,658494.7026,59.2245,1.1203206,0.74028224,28.461514,39.001457,32.878513,26.100445,22.510023,34.09945,28.956957,30.342335,33.991043,35.79849,36.922947,32.111355,37.122948,40.59662,42.128056,2.505832,2.3878536,6.022681,7.696097,1383.17,182.31262,-0.19970703,2.8359318,-0.021118164,35,15,0.77011746,0.5018653,0.24091654,0.27376354,0.30968076,1.0188823,0.76098645,22.508335,19.660738,11.164261,16.290821,15.164277,16.5131,17.109236,16.577168,24.201315,18.306942,15.915288,18.045044,17.418993,22.162094,17.034292,18.794579,21.618505,15.581811,15.094822,17.68446,17.782324,24.049107,17.713888,17.866117,17.782204,13.113239,14.296139,15.392067,16.429708,18.865677,16.630566,15.744648,18.485146,13.317699,14.62714,15.327349,16.585007,16.119131,17.180954,15.799721,16.642353,15.261813,16.44023,17.2415,16.255022,12.992413,17.345932,16.218866,0.9303014,2.4468427,6.8593893,0.5537446,33.731483,31.528202,34.51715,16.915825,19.011993,18.50356,16.0728,15.948918,16.025608,68.06
4446196.924,658434.7026,62.682907,1.128194,0.7164622,27.873716,39.594234,32.32559,25.08088,22.00176,36.755287,28.899155,30.070154,35.38795,37.03299,35.144238,31.216133,37.58032,39.982056,40.59885,2.6277716,2.4459255,5.8643956,7.711711,1383.13,175.48662,0.27978516,2.1831586,0.012207031,35,15,0.7879459,0.47941607,0.24588147,0.2647691,0.31669226,1.0194142,0.7611794,22.369326,22.812218,11.406491,16.147938,14.541481,17.97239,15.542465,17.038399,24.79506,17.995867,15.833717,17.262562,17.222612,21.613821,16.989157,18.646486,20.330425,15.627978,14.7439375,14.963106,17.38796,22.097084,17.170666,16.809614,17.943031,13.387543,13.574559,12.601969,15.902478,19.164303,17.174984,15.011192,18.360554,13.25051,13.401891,13.339048,13.384171,16.824795,18.327364,14.682982,16.292805,16.092062,15.980718,16.144512,15.172656,14.062069,15.879956,15.823315,0.9223281,2.5368485,6.7880535,0.5536141,33.733974,32.82722,33.180183,17.256044,18.816114,17.474453,15.678411,15.269762,15.660682,68.06
4446196.924,658439.7026,62.259712,1.1302459,0.71224135,27.877806,39.565594,32.756706,25.345804,21.946213,36.518665,28.911352,29.901167,35.159214,37.066315,35.3732,31.39096,37.47679,40.089134,40.672382,2.628504,2.4308314,5.8742495,7.7124443,1383.12,178.90428,0.15966797,2.248214,0.014404297,35,15,0.7879459,0.47941607,0.24588147,0.2647691,0.31669226,1.0194142,0.7611794,21.970953,23.55139,13.452401,15.749811,15.562759,16.362518,14.596508,17.414015,22.455475,19.633543,15.814373,17.148596,17.168938,20.293661,18.080212,18.350767,19.27265,15.016589,15.256154,14.795118,17.509546,18.707214,15.552574,16.450312,17.69783,12.780499,12.887187,13.069483,17.064074,15.141044,15.594775,14.597524,19.668062,13.141841,13.201916,13.784311,14.308917,15.883611,16.186373,14.871797,17.053442,15.520154,14.892804,15.882744,15.355392,13.331831,16.292171,15.537404,0.92124367,2.5296679,6.793347,0.5536141,33.7217,32.715008,33.38208,17.320906,18.6564,16.58712,14.890698,15.167861,15.475505,68.06
4446196.924,658444.7026,63.57019,1.1408896,0.71170646,28.014265,39.006176,33.243637,25.702625,21.93081,36.168232,29.119316,29.578749,34.874016,37.02057,35.706676,31.695345,37.507633,39.940838,40.813496,2.6369915,2.4087055,5.879964,7.7087135,1383.12,179.63,0.19970703,2.2192173,0.017700195,35,15,0.78769386,0.4903852,0.24226749,0.26040643,0.30979827,1.0148039,0.7607662,22.745129,19.894028,13.832086,16.680212,13.763364,18.380772,15.928208,17.321947,23.871862,18.610102,15.450356,17.134838,18.85309,21.395357,17.86322,18.637608,20.103441,15.227592,14.248127,14.845729,16.807459,24.177208,16.343185,16.682192,17.593002,12.92312,13.163631,12.497117,14.784767,18.673721,14.9397,14.50087,19.436033,12.90107,13.543374,13.493625,14.871837,15.844183,17.714304,14.888944,16.446827,14.970662,15.890653,16.479786,15.636036,17.652157,16.231293,16.157717,0.926298,2.5228486,6.7943387,0.552303,33.51022,32.643776,33.70101,17.317686,19.025545,17.393248,14.939294,15.400633,16.186773,68.06
4446196.924,658449.7026,63.167637,1.1465733,0.7068663,28.009691,38.947506,33.8626,26.160295,21.844955,35.924664,29.15422,29.3484,34.565483,37.12654,35.980778,31.991646,37.34531,40.055943,40.84629,2.6485596,2.3874502,5.884656,7.704911,1383.12,176.13072,0.27978516,2.1237857,0.027709961,35,15,0.78769386,0.4903852,0.24226749,0.26040643,0.30979827,1.0148039,0.7607662,22.230133,20.210375,13.389003,17.175926,13.857076,17.065683,15.86748,17.169344,23.767061,19.075563,15.932049,17.093185,17.355177,19.18311,17.784742,18.427649,19.496582,15.46061,15.467479,14.968481,15.791066,20.330072,15.33327,16.53895,17.382347,13.269654,13.837066,12.221013,15.335443,18.568958,14.172234,14.68002,18.763824,14.971257,14.666931,13.115173,15.115733,14.982594,16.939514,15.196415,16.18021,15.985688,14.558144,16.0194,14.541583,14.7300825,16.639734,15.464805,0.9267198,2.518005,6.7947836,0.552303,33.4786,32.539444,33.986214,17.113667,18.598698,16.692509,14.969531,15.50786,15.522119,68.06
4446196.924,658454.7026,63.983948,1.154037,0.7014383,28.00264,38.877136,34.5754,26.71302,21.727673,35.654957,29.192385,29.057964,34.222355,37.25592,36.29132,32.3535,37.183056,40.17179,40.877155,2.6646426,2.3630881,5.8898873,7.700206,1383.11,171.28607,0.63964844,1.9843189,0.034423828,35,15,0.78769386,0.4903852,0.24226749,0.26040643,0.30979827,1.0148039,0.7607662,22.230133,20.210375,13.389003,17.175926,13.857076,17.065683,15.86748,17.169344,23.767061,19.075563,15.932049,17.093185,17.355177,19.18311,17.784742,18.427649,19.496582,15.46061,15.467479,14.968481,15.791066,20.330072,15.33327,16.53895,17.382347,13.269654,13.837066,12.221013,15.335443,18.568958,14.172234,14.68002,18.763824,14.971257,14.666931,13.115173,15.115733,14.982594,16.939514,15.196415,16.18021,15.985688,14.558144,16.0194,14.541583,14.7300825,16.639734,15.464805,0.92773765,2.5138655,6.795047,0.552303,33.439888,32.42367,34.32241,17.113667,18.598698,16.692509,14.969531,15.50786,15.522119,68.06
4446196.924,658459.7026,65.409515,1.1641558,0.66336733,27.80585,39.179543,35.254482,27.266054,21.445618,34.633785,28.999954,28.742485,33.482727,36.694023,37.503918,32.673855,37.0764,40.679512,42.16041,2.6865604,2.3476129,5.890318,7.6641307,1383.05,174.81035,-0.27929688,1.8975964,-0.010009766,35,15,0.78769386,0.4903852,0.24226749,0.26040643,0.30979827,1.0148039,0.7607662,21.964207,20.253246,13.377132,16.784086,15.8669405,16.304447,16.019442,17.233576,22.95844,18.73202,15.777242,17.026854,17.595526,20.928741,17.071379,18.372929,19.766796,15.345402,15.015353,14.971657,16.874342,21.133146,17.32914,16.659548,17.361855,13.177097,13.639747,12.189723,15.3613,17.147263,16.003489,14.493945,18.6866,14.601623,13.775086,13.173149,14.790436,15.149847,15.176362,14.899732,16.546429,17.139198,14.430831,16.468922,15.012439,15.397081,17.245455,15.846292,0.9137616,2.5170865,6.7772245,0.552303,33.492695,31.81687,35.088886,17.224215,18.584314,17.20512,14.982924,15.050444,16.034336,68.06
4446196.924,658464.7026,69.24345,1.1648841,0.66422474,27.828094,39.127872,35.455177,27.465689,21.495035,34.53677,29.064941,28.750515,33.33529,36.746044,37.5582,32.843548,36.939224,40.712208,42.140804,2.6812613,2.3371902,5.8989315,7.6607246,1383.05,180,-0.03955078,1.8898233,-0.003295898,35,15,0.78769386,0.4903852,0.24226749,0.26040643,0.30979827,1.0148039,0.7607662,21.873959,21.671646,13.017385,16.825447,15.637047,16.216038,16.536201,17.309511,22.022045,18.830326,15.768421,16.939394,17.300957,20.863335,17.697868,18.19467,18.825584,15.528969,15.8479185,14.640491,17.583118,21.303581,17.369095,16.739578,17.001696,14.173026,13.759046,12.221372,15.354014,17.41235,16.643951,14.709118,16.665234,15.272162,13.588757,13.131602,15.186562,15.558522,15.876412,14.745639,17.743296,16.087122,14.74381,15.925763,15.593498,15.701069,16.672043,15.9181795,0.9145544,2.5092258,6.779828,0.552303,33.47798,31.800856,35.200874,17.396816,18.488907,17.299824,15.223635,15.039893,16.066656,68.06
4446196.924,658469.7026,66.27971,1.1595095,0.6694425,27.985794,39.05397,34.978218,27.19552,21.699142,34.473053,28.955427,29.113386,33.64597,36.711323,37.468983,32.875317,36.933556,40.700935,41.992176,2.6502652,2.3492408,5.9068084,7.648241,1383.05,180,-0.03955078,1.8898233,-0.003295898,35,15,0.78769386,0.4903852,0.24226749,0.26040643,0.30979827,1.0148039,0.7607662,21.873959,21.671646,13.017385,16.825447,15.637047,16.216038,16.536201,17.309511,22.022045,18.830326,15.768421,16.939394,17.300957,20.863335,17.697868,18.19467,18.825584,15.528969,15.8479185,14.640491,17.583118,21.303581,17.369095,16.739578,17.001696,14.173026,13.759046,12.221372,15.354014,17.41235,16.643951,14.709118,16.665234,15.272162,13.588757,13.131602,15.186562,15.558522,15.876412,14.745639,17.743296,16.087122,14.74381,15.925763,15.593498,15.701069,16.672043,15.9181795,0.91447604,2.499753,6.777525,0.552303,33.519882,31.714241,35.17215,17.396816,18.488907,17.299824,15.223635,15.039893,16.066656,68.06
4446196.924,658474.7026,63.217842,1.1519481,0.67290485,28.038548,39.059547,34.619503,26.968536,21.929075,34.408688,29.008652,29.425076,33.667786,36.57709,37.391266,32.772297,36.83042,40.717506,41.990532,2.6197119,2.3578756,5.9176354,7.6409125,1383.05,180,-0.03955078,1.8898233,-0.003295898,35,15,0.77011746,0.5018653,0.24091654,0.27376354,0.30968076,1.0188823,0.76098645,21.756113,20.532915,13.254552,16.996166,14.1805315,16.852816,15.48436,17.11098,21.829813,18.463629,15.875421,17.329874,16.492373,22.10005,19.25615,18.416231,19.434088,15.924812,14.96742,14.304387,14.993245,19.722307,16.682486,16.275576,16.905155,12.932854,13.165616,12.6553135,15.645699,15.904272,16.120804,14.362094,17.355947,14.443715,13.36271,13.69041,14.583735,17.587727,15.60788,14.902513,17.392885,16.884089,15.926318,14.819179,15.935291,14.159082,16.00674,15.914254,0.9124265,2.4887938,6.779274,0.5537446,33.54905,31.70867,35.08178,17.008207,18.7639,16.575535,14.761388,15.233161,15.874797,68.06
